ticker,year,quarter,time,code,name,value
AAA,2020,1,Q1-2020,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,4556885712.745
AAA,2020,1,Q1-2020,TotalAsset,Tổng tài sản,7768231726.599
AAA,2020,1,Q1-2020,TotalDebt,Tổng nợ,4527286854.655
AAA,2020,1,Q1-2020,TotalOwnerCapital,Vốn chủ sở hữu,3240944871.944
AAA,2020,1,Q1-2020,TotalShortTermDebt,Nợ ngắn hạn,3064318165.019
AAA,2020,2,Q2-2020,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,4344553691.137
AAA,2020,2,Q2-2020,TotalAsset,Tổng tài sản,7786584839.414
AAA,2020,2,Q2-2020,TotalDebt,Tổng nợ,4544986504.306
AAA,2020,2,Q2-2020,TotalOwnerCapital,Vốn chủ sở hữu,3241598335.108
AAA,2020,2,Q2-2020,TotalShortTermDebt,Nợ ngắn hạn,3149512205.775
AAA,2020,3,Q3-2020,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,4205633058.73
AAA,2020,3,Q3-2020,TotalAsset,Tổng tài sản,8206176494.747
AAA,2020,3,Q3-2020,TotalDebt,Tổng nợ,4239353049.643
AAA,2020,3,Q3-2020,TotalOwnerCapital,Vốn chủ sở hữu,3966823445.104
AAA,2020,3,Q3-2020,TotalShortTermDebt,Nợ ngắn hạn,2795587293.037
AAA,2020,4,Q4-2020,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,4451050828.524
AAA,2020,4,Q4-2020,TotalAsset,Tổng tài sản,8569613917.893
AAA,2020,4,Q4-2020,TotalDebt,Tổng nợ,4545451942.407
AAA,2020,4,Q4-2020,TotalOwnerCapital,Vốn chủ sở hữu,4024161975.486
AAA,2020,4,Q4-2020,TotalShortTermDebt,Nợ ngắn hạn,3772834861.366
AAA,2021,1,Q1-2021,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,5279713527.496
AAA,2021,1,Q1-2021,TotalAsset,Tổng tài sản,9179385142.444
AAA,2021,1,Q1-2021,TotalDebt,Tổng nợ,5051729751.083
AAA,2021,1,Q1-2021,TotalOwnerCapital,Vốn chủ sở hữu,4127655391.361
AAA,2021,1,Q1-2021,TotalShortTermDebt,Nợ ngắn hạn,4114416685.869
AAA,2021,2,Q2-2021,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,5467617108.516
AAA,2021,2,Q2-2021,TotalAsset,Tổng tài sản,9642310081.327
